distance,temp,time
13,25.8,3675
8,,1123
9,17.8,1127
21,23,2426
23,19,2168
18,26.9,2145
8,26,665
7,29.3,1104
14,27.7,2540
17,24.5,2227
8,18.6,1516
2,,786
2,18.6,359
10,19.6,1441
18,27.4,2784
4,20.5,1606
7,20.1,2862
14,17.6,1695
10,28.4,1331
12,,1260
9,18.8,3830
9,21.6,2721
10,,284
12,27.1,1404
8,30.6,799
7,23.4,1608
23,28.6,1985
12,20,1646
11,19.9,1837
9,,985
9,23.8,1850
5,23.2,165
3,18.2,1120
17,29.4,2163
13,19.5,2355
22,22.1,3487
6,,781
14,21.5,1996
9,25.4,1486
14,25.7,2588
3,,703
15,23.3,4652
8,23,486
10,23.1,1772
7,,1012
6,16.9,974
3,,996
2,17.8,1139
16,21.2,2810
4,20.3,758
21,23.2,2018
34,26.6,3321
7,23.4,1080
8,20.1,1669
2,21.9,475
8,20,862
19,21.3,2340
16,30.6,2482
2,26.4,571
11,,1843
8,18.7,1946
14,20.9,2089
12,,1625
4,25.9,525
14,20.3,1524
32,,3175
22,29.1,2284
7,,4293
3,,2817
12,18.1,1237
8,,1795
8,26.5,1088
5,21,2055
3,,371
3,,2285
6,28,9
5,25.7,1178
9,,4412
19,,2048
9,21.7,1275
14,,1953
6,28,1885
10,25.6,1388
2,24.7,1271
2,,10
4,,1456
18,26.1,3390
5,24.6,550
18,16.9,2099
2,25.1,428
6,,92
4,23,2
12,24.7,1942
18,22.4,1688
15,31,1145
16,21.7,1987
8,,1863
2,,602
9,22.5,1014
9,28.4,324
8,23.1,1743
11,21.6,1244
7,24.1,989
15,27.4,2077
11,,1778
4,,871
9,24.1,1087
14,,1499
6,27.1,745
3,29.9,5
11,19.3,3
3,24.2,324
14,25.3,1969
8,24.6,1658
23,,3876
8,26.4,988
4,28.2,1311
21,16.6,2614
11,27.5,2065
4,25.8,2086
27,,3268
8,20.2,600
16,,1916
8,26.7,1476
22,25.2,2452
4,27.5,790
17,20.9,2646
15,18.9,1826
7,23.4,1234
14,19.2,3390
6,,685
10,28.3,2783
6,23.7,893
11,23.8,1441
3,23.9,11
28,25.6,2316
6,22.6,915
8,,1142
15,20.8,2232
8,,2192
7,30.5,5350
13,17.5,2769
7,24.6,943
17,27,1345
11,,2180
6,22.5,4496
4,22.6,1057
8,,1227
3,31,468
5,23.7,1233
5,21.2,915
4,22.1,883
2,23.1,1236
8,26.4,17
13,28.9,1424
6,24.5,827
3,27,337
8,,829
8,,850
14,25.8,1624
6,,2775
6,26.7,904
10,22.2,1443
9,19.6,1050
18,28.3,2396
14,29.2,1557
14,,2392
14,28.6,2
19,27.2,2405
7,21.5,1134
8,27.8,1058
10,17.2,1268
8,16.6,1616
27,18,3229
9,,705
11,21.6,2366
9,20.3,1356
8,25.6,1884
1,23.9,155
5,22.6,768
17,26.4,1
10,19.5,1353
12,19.9,3085
5,30,497
7,14.7,1246
9,18.9,2138
30,22.4,3084
1,23.1,370
7,,1076
8,,1314
21,18.8,2109
11,,1592
4,28.9,739
10,16.1,1143
13,25.2,1586
4,21.7,233
9,,1626
10,19.3,2093
9,28.5,5055
6,19.5,1549
8,,1304
6,24,3
6,25.2,1892
18,23.8,2529
5,27.8,1965
15,29.3,1207
4,18.4,679
12,,1371
14,,3160
8,25.3,1829
21,27.7,3145
8,,355
17,22.4,2254
4,24.6,771
21,23.8,2638
3,23.7,833
4,,34
8,,2024
9,23,1505
14,19,1789
5,,4
1,22.1,300
14,26.3,1901
6,15,806
10,,1745
13,29.3,2911
23,28.5,3166
13,,1374
7,18.6,774
13,21.6,1683
7,,1375
2,,749
2,,1073
6,,980
8,26.9,1186
5,24.8,1263
9,28.3,1579
3,21.9,876
4,,530
2,,552
5,22.4,843
7,20.1,991
2,26.3,547
7,19.2,874
5,23.9,822
5,,617
9,27,979
9,25.7,1648
8,27.2,1515
8,23,1005
9,17.9,1354
5,20.1,716
7,15.1,1664
17,24.6,3987
22,24.6,3975
16,,1925
10,21.9,638
14,13.9,1862
20,27.1,2784
8,20.1,1065
12,24.4,4235
21,22.4,3267
4,20.4,598
17,23,3232
9,26.1,2588
10,23.3,1570
18,23.6,2892
9,26.9,1444
5,17.4,720
3,26.1,867
21,,2051
20,21.5,2354
22,24.5,2861
14,25.6,1857
17,,1815
10,20,1281
8,23,1293
5,,730
22,23.8,2845
7,22,1322
11,19.6,833
12,23.5,1527
5,22.4,4249
15,,1565
14,19.9,1425
2,,689
8,24,1700
11,23.1,1425
5,16.6,1117
15,,1696
5,26,1305
6,22.5,1043
27,22.5,7883
18,,3162
7,19.2,2322
8,,1440
5,19.8,1016
18,,2384
24,15.2,3371
8,28.6,1529
6,15.2,898
18,19.8,1926
15,25.7,1634
7,26.5,818
22,19.1,2762
2,22.9,559
5,20,732
4,,887
5,,316
11,18.7,715
3,26.8,323
8,27.5,107
6,25.2,1102
7,24.8,1085
5,23.9,2223
15,22.1,2352
14,26.4,3
8,14.7,1338
22,25,3972
9,25.3,2200
12,23.7,2342
7,26.3,885
13,26.2,1220
5,,883
6,26.7,1139
10,,1008
4,18,328
16,23.8,2752
5,24.1,760
18,27.4,1285
7,22.7,1182
15,22.1,1093
9,26.2,1722
6,23.2,1710
7,,603
7,23.7,1846
21,,1730
10,20.6,1003
6,26.9,710
6,27.8,884
7,18,2527
18,27.3,3505
3,26.4,1641
17,30.3,1991
2,25.4,710
3,27.5,1
12,26.6,2130
8,29.2,1911
8,22.4,1192
6,23.3,6
8,27.5,2333
12,27.1,1935
3,23.7,423
17,22.7,3489
15,17.9,4099
5,,766
5,19.2,666
9,,1001
7,20.9,888
11,22.4,1366
12,20.1,4623
18,26.3,3455
25,25.6,2538
3,22.7,544
16,18.8,2052
20,,2603
8,,1850
15,27.2,1369
16,26.1,1939
5,23.4,885
9,21.8,2007
10,19.1,2205
11,,1997
14,21.5,1567
9,22,1646
12,25.3,1324
18,26.3,3450
7,23,803
5,,1599
5,18.8,1662
25,24.9,3733
9,22.8,1415
4,17.9,713
9,25.2,1730
10,,1413
4,18.9,1152
4,27.8,2055
3,,297
7,26.5,2172
11,,1378
8,21.3,1594
12,26.5,1557
6,,1128
6,28.2,2025
8,29.4,1355
14,27.3,12
8,20.3,2331
14,23.2,1596
8,26.3,63
3,20.4,697
5,22.1,390
6,24.5,1046
4,,757
6,17.6,928
16,24.7,2132
10,24.8,1933
13,,1837
5,28.1,755
6,21.9,658
4,25.5,679
6,,1019
2,,699
5,26.3,1788
16,18.9,1940
23,24,2220
20,,2373
30,26.6,2584
29,23.9,3031
16,23.3,3
7,25,805
5,15.6,1710
2,18.5,556
4,22.3,2
20,18.5,2694
14,,1421
6,22.8,832
9,19.1,2073
20,20.2,2377
9,23.7,767
20,26.1,2339
16,27.6,2259
19,,2451
6,18.4,949
4,24.4,744
11,27.3,1251
4,,1130
4,25.4,639
8,25.3,2
10,16.2,814
5,,5
9,,1228
18,29.5,1808
10,19.2,1122
6,23.8,1019
3,25.3,3469
6,,920
18,20.3,2321
7,27.3,1483
1,19,598
15,26,1506
7,25.9,603
24,21.9,4476
19,27.3,2617
12,28.4,1700
5,,1065
6,23.4,2577
14,20.2,2063
4,28.4,3177
5,29,742
10,24.8,1774
8,,1149
16,,1919
7,19.1,855
8,,1961
4,25,1109
3,25.2,1356
3,,478
9,,2052
17,21,1983
8,20,1869
8,,1049
3,,1
15,24.9,1619
3,19,796
5,20.8,1170
9,,2461
10,,1198
23,23.8,3534
4,18.8,825
18,20.2,2412
7,24,1126
13,20.9,2759
7,22.7,1030
9,25.8,3228
11,21.3,1193
15,21.5,1375
11,23.8,1580
22,25.2,3902
14,,1618
11,22.9,1657
14,25.1,2287
10,22.4,958
6,29,3404
10,,4273
5,22.9,797
15,25.6,2114
15,26.3,3397
2,24.4,752
6,24.5,1928
9,23.2,1481
5,27.5,859
8,27.3,17
5,,944
5,19.9,636
8,18.3,1518
16,24,1668
1,24.9,104
3,26.8,578
20,24.5,2886
10,14.4,2269
3,,703
15,24,1711
14,17.9,1
20,27.8,1954
2,24.9,1331
6,20.4,747
16,,1759
18,25,2458
6,23,1006
2,18.3,354
8,18,1239
11,21.1,3074
1,23.6,1438
11,23.7,1042
3,,476
13,13.8,2253
5,18.4,564
12,,3223
5,27.7,643
18,21.8,3309
5,,1078
9,,1280
6,17.4,667
10,18.3,2246
3,29.6,947
8,21.1,1627
1,26.5,514
19,25.5,2561
7,18.7,959
5,19.2,829
11,,4
14,18.2,4
19,27.4,3020
4,,959
4,25.5,923
9,26.9,1014
8,,1727
16,25,2506
13,20,425
9,26.2,1061
26,,2397
7,,1876
3,25.4,2059
7,18.5,2584
9,19.7,1321
8,31,1285
7,,1078
10,20,2582
6,,1076
22,23.6,2982
4,,595
9,24.9,1853
3,26.9,588
9,20.5,1267
16,24.1,1244
9,26.4,1526
10,21.2,2614
8,21.8,2151
8,22,1282
2,30.9,1361
8,25.5,938
9,28.6,2
15,18.1,1582
5,26.8,675
3,,2
4,22.2,24
2,13.4,458
5,,492
12,20.5,1919
23,19.6,2109
10,18.8,1732
7,26.5,1215
9,24.2,1735
8,,3618
8,20.7,1271
11,25.6,1705
4,27.3,864
9,25.8,4334
4,27.7,781
1,,306
12,19,1809
4,26.2,1025
12,27.8,2409
10,25,1979
14,20.9,2
6,,4523
11,22.5,847
2,28.8,471
14,26.9,4619
16,,1521
8,26.7,1332
8,21.3,1906
14,19.3,1868
27,18.1,1861
9,21.9,1628
13,20,1775
13,21,2835
12,19.6,1369
7,17.7,1793
2,,21
8,22.7,1722
17,23.1,1510
6,28.1,3
7,29.4,199
7,28.1,3148
10,23.2,3370
8,,6
8,18.8,2068
8,,4905
12,19,1590
12,,435
8,26,800
14,,1771
6,27.1,890
17,,1827
17,23.5,3360
4,26.1,613
10,,1206
11,18.6,4334
10,22.1,1151
15,24.1,2133
6,28.2,2164
2,24.9,309
12,22.3,2129
3,19.9,396
8,19.2,1620
6,21.5,1281
3,21,1229
3,,8
17,19.8,1501
9,18.6,2151
8,27.1,1306
11,18.4,1715
5,20.7,613
6,16.8,683
11,18.8,1437
12,26.4,934
13,22.7,3172
14,24.8,1585
10,28,1967
9,18.8,1606
5,,1498
8,22.4,2326
6,26.2,1024
14,,1978
6,16.2,3838
9,,1784
13,19.6,1326
8,,1698
4,22.3,729
35,,2683
4,,520
7,,1102
2,23.9,383
5,,772
19,21.2,3280
4,21.8,354
6,21.3,709
10,,1935
9,,1166
9,23.2,1718
6,,942
19,21.9,1837
7,21.8,1026
7,25.2,1985
20,17.1,1926
10,20.8,2072
10,19.1,964
12,23.6,1646
3,17.4,584
13,25.3,2182
3,23.7,377
5,26.1,589
2,25.4,133
11,20.6,1598
11,27,1405
4,,648
1,26.4,236
12,26.1,1345
14,,3068
5,,1000
22,24.4,3038
12,,1768
4,27,535
23,19.6,2958
12,,928
11,21,1635
1,27.9,632
3,28,365
17,,1594
3,23.3,418
7,21.7,1143
11,22.2,869
6,26.4,1136
10,,2649
12,,1669
6,23.8,748
6,21.3,943
6,24,827
4,,1140
5,,10
4,23.3,629
20,22,2443
2,,2127
13,,1162
3,,753
11,18.2,1298
2,19.4,371
3,17.8,311
6,23.7,1553
16,26.9,1888
5,28,752
3,,887
14,28,2
7,,3
14,,1342
8,27.4,1158
16,,4707
6,,1300
4,,822
6,22.3,1424
22,25.4,1780
9,,846
10,,1380
7,16.7,1152
16,27.3,2267
4,,599
14,26.1,2825
5,22.7,1580
12,16.6,2345
12,25.7,1546
16,21.9,2560
4,22.1,779
8,,925
21,19,2122
2,,2005
14,24,1775
8,26,2252
6,,718
4,27,2930
9,25.2,2606
5,23.7,1307
5,19,3563
18,,2272
2,,503
21,21.4,2050
5,27.2,1465
7,27.8,849
10,18.2,2173
11,24.9,2987
18,25.2,4480
4,21.3,887
11,22.6,1885
9,21.1,1436
14,,1009
3,20.1,1093
8,28.5,1911
14,23.9,2038
12,19,2543
13,24.2,1556
9,27.6,1871
14,25.5,1695
9,21.5,2111
18,,3297
8,18.6,1693
6,27.5,1622
6,25.5,1253
8,21.3,907
5,28.1,1599
8,27,1859
8,18.2,1520
4,24.3,666
2,29.1,768
12,19.2,1727
10,,1380
14,24.8,2086
12,21.3,1605
4,19.6,541
8,22.7,1405
21,24.1,2858
2,,1389
10,26.4,1233
8,25.3,1074
17,16.4,3485
6,23.5,1511
6,26,1431
9,,2036
11,26.1,2700
20,20,2877
7,21.2,1331
5,24.5,673
8,,3349
5,24.8,1201
4,,580
15,25.9,2597
9,23.7,1688
4,30.5,823
5,28.2,1633
6,25.8,915
14,20.2,1523
19,28.6,2003
4,28.3,1218
18,25.3,2425
15,19.7,1806
27,20.3,1420
6,21.3,1077
5,30.5,2642
29,,1427
15,22.8,1329
12,20.9,1880
13,22.4,3449
8,14.5,1320
6,,1172
4,16.9,790
3,23.5,650
20,26.1,2688
25,25.9,2488
18,24.6,1884
5,29.7,547
10,21.7,4416
11,27.7,1951
12,15.8,924
8,24.5,1285
10,,1203
9,22.1,1357
5,24.3,437
10,23.7,2294
3,16.9,533
12,23.9,2477
9,22.8,1313
18,26.8,1875
15,30,1422
8,27.8,1336
7,26,3946
9,24.3,994
5,20.5,1185
14,24.2,1506
1,27.7,1136
12,16.5,1171
5,21.9,991
9,,1067
10,26,1
10,22.2,3754
15,26.4,1725
5,20.9,627
11,22.1,1591
9,24.2,1713
8,28.3,46
29,,482
6,26.1,2132
1,27.9,297
15,21.8,2047
6,24.7,2615
4,,960
18,,3055
7,27.1,678
4,25.6,327
6,19.1,2144
7,17.1,1061
8,27.9,2070
18,,2714
6,18.3,1519
6,17.9,1553
5,23.3,880
9,,1701
9,,671
7,24.7,3386
6,25.7,1634
3,23.7,1065
18,28.6,4180
21,,2328
9,,2271
14,18.8,2824
12,23.1,1947
4,21.7,588
15,25.5,1848
8,24.7,719
1,24.7,309
12,27.1,1093
6,22.5,2298
14,24.8,1946
22,19.1,2754
6,26.2,2815
7,,105
8,18.9,1579
5,,1498
1,18.8,155
9,,1384
9,24.8,1582
6,21.6,1226
12,22.3,1677
11,,1442
4,27.8,739
1,26.1,805
10,,2228
14,,2957
10,30.9,1336
9,21.4,1078
13,25.4,1157
5,28,1887
4,,755
11,17.7,1437
14,19.2,769
8,16.9,1443
21,26.9,2245
8,30.9,454
2,18.2,730
14,,3604
5,21.2,1062
15,,1522
4,26.7,667
25,23.2,2120
14,25,1441
8,23.4,1867
5,19.5,961
7,25.1,1294
14,25.5,2357
16,27,1697
13,19,2150
20,,2
10,21.8,1423
8,26,2507
20,23.8,1572
6,24,1132
10,20.3,1256
4,,869
12,21.6,1340
3,,354
6,21.6,1603
9,16.8,1576
14,21,2760
15,24.7,1530
8,23.8,1564
4,23.6,526
5,,587
10,25.1,3097
15,23.8,1976
28,23.3,3309
2,18.6,524
12,19.2,1932
13,23.4,1561
4,23.4,437
4,,32
8,,1333
11,20.8,1147
12,27.7,992
8,21.2,1648
22,26,2799
5,30.8,994
7,27.9,837
1,18.4,1375
4,20.1,586
16,22.6,1888
13,,1294
10,20.9,1252
7,24.3,2367
7,,311
5,25.2,2107
14,22.4,1745
6,28.5,996
10,26.3,1414
5,19.9,1418
3,22.3,360
14,25.5,2169
7,15.4,1352
11,22.7,2375
16,,1468
4,22.6,710
9,20.6,1304
16,21.2,2843
15,20.6,2058
18,,2643
13,27.3,1638
2,23.2,881
4,,1664
4,22,706
3,20.4,1259
14,24,1612
8,23,1306
10,27.5,1637
19,22.4,2898
10,22.3,2028
16,13.3,2449
12,16.4,1851
3,24.6,605
11,21.4,1896
8,26.3,1769
9,,1318
22,25.2,2417
4,24.4,1400
5,,1112
23,,3063
8,20.1,1029
1,21.3,530
16,25.7,2837
5,26.3,1655
20,21.2,2146
14,26,994
9,20,966
2,17.8,473
11,29.1,3478
18,15.2,2986
5,22,682
11,,1826
9,17.2,1227
6,26.3,1130
6,27.5,3
9,22.1,1000
5,26,8
11,19.8,1670
10,25.3,1093
19,24,2384
8,24.3,1514
2,27.5,513
8,23.8,4303
6,25.2,1223
10,22.7,2288
2,24.6,1939
4,,903
11,16.1,2306
4,24.1,1313
